arrival_time_s,msg_size_byte,connection_id,msg_id
0.000000,4103,492707756,0
0.064579,23892,492707756,4
0.064608,4375,492707756,8
0.064625,6771,492707756,12
0.066301,172,492707756,16
0.066320,550,492707756,20
0.066338,26896,492707756,24
0.066353,2445,492707756,28
0.066367,7953,492707756,32
0.066383,26249,492707756,36
0.066399,2384,492707756,40
0.066416,6015,492707756,44
0.066440,10671,492707756,48
0.066465,31,492707756,52
0.066477,13316,492707756,56
0.066488,5295,492707756,60
0.066499,868,492707756,64
0.066509,7568,492707756,68
0.066521,2193,492707756,72
0.066531,10885,492707756,76
0.066542,18305,492707756,80
0.066552,15331,492707756,84
0.066564,83,492707756,88
0.066574,12246,492707756,92
0.066586,130138,492707756,96
0.066597,15682,492707756,100
0.066607,13321,492707756,104
0.066621,15877,492707756,108
0.066631,1390,492707756,112
0.067977,597,492707756,116
0.067991,14842,492707756,120
0.084986,48200,492707756,124
0.085034,79980,492707756,128
0.087269,1274,492707756,132
0.087325,18325,492707756,136
0.087368,485,492707756,140
0.087390,25671,492707756,144
0.123477,24425,492766860,0
0.123606,18501,492786188,0
0.123630,19987,492806876,0
0.127344,7817,492855516,0
0.127435,4336,492878300,0
0.127473,3804,492878300,4
0.127505,767,492878300,8
0.127545,37259,492878300,12
0.152079,6942,493001052,0
0.188693,47192,492707756,148
0.189640,3940,492707756,152
0.250903,595,493394348,0
0.358631,4931,492921196,0
