arrival_time_s,msg_size_byte,connection_id,msg_id
0.000000,16620,-335028308,0
0.138584,33362,-335028308,4
0.138616,15656,-335028308,8
0.138625,742,-335028308,12
0.138633,409,-335028308,16
0.138641,215,-335028308,20
0.138652,1426,-335028308,24
0.138661,9321,-335028308,28
0.138680,3450,-335028308,32
0.138691,830,-335028308,36
0.138702,22831,-335028308,40
0.138712,493,-335028308,44
0.138723,339,-335028308,48
0.138736,83,-335028308,52
0.138746,2417,-335028308,56
0.138762,1911,-335028308,60
0.138773,198,-335028308,64
0.139021,846,-335028308,68
0.139028,1081,-335028308,72
0.139036,123,-335028308,76
0.139044,410,-335028308,80
0.139051,375,-335028308,84
0.139061,42415,-335028308,88
0.140529,294,-335028308,92
0.140541,192,-335028308,96
0.140551,251,-335028308,100
0.140561,7687,-335028308,104
0.140569,435,-335028308,108
0.140583,146,-335028308,112
0.140593,252,-335028308,116
0.140602,16899,-335028308,120
0.140611,11203,-335028308,124
0.140622,31181,-335028308,128
0.140631,373,-335028308,132
0.140642,697,-335028308,136
0.140654,177,-335028308,140
0.140663,163,-335028308,144
0.140672,245,-335028308,148
0.140681,24184,-335028308,152
0.140691,1144,-335028308,156
0.140701,177,-335028308,160
0.140717,825,-335028308,164
0.140727,697,-335028308,168
0.140735,825,-335028308,172
0.140744,4166,-335028308,176
0.195445,2269,-334958532,0
0.197940,4086,-334939284,0
0.197975,13780,-334916836,0
0.197984,27211,-334916836,4
0.198008,13036,-334916836,8
0.198019,17711,-334916836,12
0.198029,28951,-334916836,16
0.198076,26927,-334895268,0
0.198088,3270,-334895268,4
0.198101,795,-334895268,8
0.198112,41542,-334895268,12
0.198124,1001,-334895268,16
0.198135,754,-334895268,20
0.198147,5066,-334895268,24
0.198159,19403,-334895268,28
0.198171,11722,-334895268,32
0.198183,3920,-334895268,36
0.198208,4016,-334895268,40
0.198221,6162,-334895268,44
0.198238,10084,-334895268,48
0.198249,18507,-334895268,52
0.198262,17223,-334895268,56
0.198273,15743,-334895268,60
0.198284,1435,-334895268,64
0.198297,70300,-334895268,68
0.198308,11370,-334895268,72
0.198321,690,-334895268,76
0.198332,926,-334895268,80
0.198536,15882,-334811940,0
0.198557,11945,-334788516,0
0.199672,420,-334895268,84
0.199692,40934,-334895268,88
0.199709,28745,-334895268,92
0.199724,1557,-334895268,96
0.270372,15037,-334367732,0
0.289973,8281,-334788516,4
0.306061,26331,-335028308,180
0.323465,32666,-335028308,184
0.347881,9234,-334361204,0
0.390240,795,-334356580,0
0.390262,795,-334356580,4
0.390274,795,-334356580,8
0.390285,795,-334356580,12
0.390309,795,-334356580,16
0.390321,795,-334356580,20
0.391389,2561,-334367732,4
0.496534,795,-334356580,24
0.533269,880,-334328052,0
0.560584,1035,-334321364,0
0.560659,795,-334302628,0
0.595288,14012,-334328052,4
